X,Result(X)
-5,nan
-4.9,nan
-4.8,nan
-4.7,nan
-4.6,nan
-4.5,nan
-4.4,nan
-4.3,nan
-4.2,nan
-4.1,nan
-4,nan
-3.9,nan
-3.8,nan
-3.7,nan
-3.6,nan
-3.5,nan
-3.4,nan
-3.3,nan
-3.2,nan
-3.1,nan
-3,nan
-2.9,nan
-2.8,nan
-2.7,nan
-2.6,nan
-2.5,nan
-2.4,nan
-2.3,nan
-2.2,nan
-2.1,nan
-2,nan
-1.9,nan
-1.8,nan
-1.7,nan
-1.6,nan
-1.5,nan
-1.4,nan
-1.3,nan
-1.2,nan
-1.1,nan
-1,nan
-0.900000000000001,nan
-0.800000000000001,nan
-0.700000000000001,nan
-0.600000000000001,nan
-0.500000000000001,nan
-0.400000000000001,nan
-0.300000000000001,nan
-0.200000000000001,nan
-0.100000000000001,nan
-1.02695629777827e-15,nan
0.099999999999999,-1.4306765580734
0.199999999999999,-1
0.299999999999999,-0.74807036358741
0.399999999999999,-0.569323441926608
0.499999999999999,-0.430676558073394
0.599999999999999,-0.317393805514016
0.699999999999999,-0.221614602951226
0.799999999999999,-0.138646883853215
0.899999999999999,-0.0654641691014232
0.999999999999999,-8.27784420422455e-16
1.1,0.0592195443315845
1.2,0.113282752559378
1.3,0.163016083093689
1.4,0.209061955122167
1.5,0.251929636412592
1.6,0.292029674220179
1.7,0.329697869649195
1.8,0.36521238897197
1.9,0.398806242361757
2,0.430676558073393
2.1,0.46099159153476
2.2,0.489896102404978
2.3,0.517515535392986
2.4,0.543959310632771
2.5,0.569323441926607
2.6,0.593692641167082
2.7,0.617142025384563
2.8,0.639738513195561
2.9,0.661541976094107
3,0.682606194485985
3.1,0.70297965690393
3.2,0.722706232293572
3.3,0.741825738817571
3.4,0.760374427722588
3.5,0.778385397048775
3.6,0.795888947045364
3.7,0.812912886879536
3.8,0.829482800435151
3.9,0.845622277579675
4,0.861353116146786
4.1,0.876695498974731
4.2,0.891668149608153
4.3,0.906288469676671
4.4,0.920572660478371
4.5,0.934535830898577
4.6,0.948192093466379
4.7,0.961554650079972
4.8,0.974635868706164
4.9,0.987447352170942
5,1
